Nacimientos
    Movimiento natural de la población. Datos avanzados: Año 2011

Nacimientos por edad de la madre ; mes y sexo .
Unidades:Nacimientos


,Enero,,Febrero,,Marzo,,Abril,,Mayo,,Junio,,Julio,,Agosto,,Septiembre,,Octubre,,Noviembre,,Diciembre,,Total,,
,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,
De 15 años y menos,"26.0","19.0","33.0","20.0","27.0","34.0","22.0","33.0","42.0","28.0","23.0","19.0","40.0","28.0","38.0","40.0","17.0","19.0","20.0","28.0","26.0","22.0","24.0","32.0","338.0","322.0",
De 16 años,"45.0","34.0","45.0","40.0","33.0","38.0","37.0","38.0","47.0","31.0","44.0","40.0","46.0","28.0","38.0","36.0","49.0","32.0","43.0","47.0","43.0","31.0","44.0","33.0","514.0","428.0",
De 17 años,"75.0","70.0","80.0","75.0","93.0","61.0","83.0","52.0","84.0","72.0","65.0","75.0","77.0","84.0","82.0","70.0","83.0","86.0","78.0","75.0","80.0","72.0","75.0","73.0","956.0","866.0",
De 18 años,"150.0","134.0","123.0","115.0","129.0","119.0","98.0","121.0","126.0","120.0","121.0","90.0","135.0","117.0","139.0","125.0","120.0","129.0","143.0","127.0","129.0","111.0","134.0","97.0","1547.0","1406.0",
De 19 años,"194.0","176.0","201.0","146.0","166.0","178.0","190.0","169.0","173.0","164.0","184.0","168.0","200.0","157.0","205.0","216.0","178.0","145.0","189.0","169.0","176.0","145.0","154.0","168.0","2210.0","2001.0",
De 20 años,"273.0","235.0","215.0","213.0","235.0","219.0","193.0","222.0","252.0","183.0","231.0","205.0","254.0","199.0","259.0","243.0","240.0","209.0","216.0","221.0","218.0","199.0","256.0","189.0","2843.0","2538.0",
De 21 años,"283.0","233.0","298.0","248.0","281.0","260.0","220.0","230.0","280.0","233.0","264.0","272.0","280.0","258.0","299.0","317.0","246.0","287.0","299.0","272.0","286.0","255.0","269.0","251.0","3306.0","3117.0",
De 22 años,"332.0","328.0","299.0","284.0","343.0","282.0","294.0","282.0","313.0","297.0","289.0","292.0","357.0","317.0","375.0","346.0","297.0","288.0","324.0","313.0","312.0","326.0","294.0","299.0","3829.0","3654.0",
De 23 años,"418.0","375.0","338.0","335.0","342.0","375.0","361.0","326.0","372.0","336.0","353.0","324.0","383.0","386.0","373.0","399.0","405.0","391.0","361.0","379.0","371.0","366.0","370.0","373.0","4448.0","4366.0",
De 24 años,"445.0","444.0","475.0","390.0","446.0","413.0","438.0","402.0","441.0","424.0","435.0","438.0","454.0","449.0","477.0","462.0","443.0","424.0","437.0","451.0","439.0","425.0","420.0","441.0","5350.0","5163.0",
De 25 años,"532.0","519.0","472.0","488.0","541.0","476.0","458.0","448.0","509.0","456.0","501.0","484.0","552.0","513.0","559.0","527.0","521.0","502.0","541.0","477.0","529.0","475.0","517.0","468.0","6233.0","5834.0",
De 26 años,"632.0","580.0","577.0","531.0","611.0","607.0","583.0","548.0","581.0","582.0","627.0","571.0","678.0","634.0","713.0","640.0","663.0","579.0","656.0","594.0","655.0","532.0","593.0","588.0","7571.0","6987.0",
De 27 años,"773.0","708.0","709.0","613.0","778.0","680.0","708.0","663.0","792.0","693.0","729.0","640.0","815.0","738.0","793.0","724.0","783.0","731.0","781.0","673.0","720.0","687.0","724.0","693.0","9106.0","8244.0",
