Edad,Hombres,Mujeres
0,251390,236243
1,259312,243720
2,260478,245142
3,256630,242024
4,250856,236788
5,246368,232712
6,245164,231763
7,243482,229790
8,238325,224458
9,233688,221359
10,231534,219378
11,226120,213609
12,220079,208121
13,216599,204900
14,215978,204827
15,217315,206071
16,219930,208557
17,223984,212319
18,228644,217071
19,233836,222835
20,239321,228969
21,244880,235365
22,251829,243777
23,260695,254251
24,270870,265237
25,282630,277135
26,296790,291162
27,313711,307134
28,332440,323860
29,351199,340250
30,369567,356019
31,386543,369910
32,400700,381174
33,411062,389428
34,417187,394275
35,418749,395369
36,416479,393273
37,411751,389225
38,405368,384094
39,398605,379190
40,392318,374949
41,387065,371798
42,381660,368925
43,375474,365659
44,370477,363357
45,366059,361098
46,359715,356564
47,351966,350826
48,344280,345202
49,335666,338378
50,326997,331420
51,319842,325877
52,311565,318995
53,301007,309650
54,289300,299223
55,278087,289125
56,268352,280082
57,259647,272090
58,251604,264822
59,245848,260119
60,243175,258960
61,239526,256886
62,234517,253403
63,231667,252145
64,228042,249925
65,221081,243775
66,212291,235488
67,202095,225667
68,193702,218014
69,182515,207548
70,167791,193528
71,159047,186691
72,157097,188462
73,153919,188899
74,152519,190942
75,154999,197898
76,153770,200662
77,148404,197601
78,140820,192032
79,132335,186025
80,122373,177710
81,111201,167185
82,100027,156207
83,89109,144776
84,78431,132555
85,68480,120160
86,59402,108088
87,50943,95991
88,42704,83362
89,34697,70770
90,27079,58460
91,20445,47117
92,14950,37107
93,10751,28833
94,7821,22291
95,5741,17073
96,4186,12792
97,3031,9491
98,2154,6842
99,1512,4576
100,2359,6549
