Edad,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres
0,827,692,62,67,62,67,83,47,77,50,69,44,63,61,77,59,71,60,64,48,68,67,63,59,67,63,827,692
1,73,68,10,9,6,6,6,7,4,4,5,5,5,3,4,4,6,4,2,5,6,6,11,8,7,6,73,68
2,41,29,3,2,7,2,7,5,4,4,4,5,0,1,3,2,2,2,1,2,2,0,4,1,4,3,41,29
3,36,27,0,2,3,1,8,6,2,0,4,1,3,1,1,2,3,3,3,4,3,6,4,0,2,1,36,27
4,23,23,1,4,3,3,3,3,3,2,2,1,1,1,5,2,1,1,0,2,2,0,0,1,2,3,23,23
5,22,20,0,5,3,3,2,2,0,0,2,1,1,2,4,3,2,0,2,1,0,2,3,0,3,1,22,20
6,32,23,2,1,2,2,4,4,3,3,2,2,1,3,5,3,2,0,0,1,2,1,4,1,5,2,32,23
7,22,13,1,1,1,1,1,0,3,2,1,0,0,1,2,1,0,2,3,2,1,0,4,2,5,1,22,13
8,19,14,6,1,2,2,1,2,1,0,1,0,1,2,2,2,0,2,1,1,2,2,1,0,1,0,19,14
9,26,13,1,0,4,1,6,4,2,2,1,1,0,0,1,1,4,1,0,0,5,2,0,1,2,0,26,13
10,26,18,1,1,2,2,4,4,2,1,1,0,4,1,1,1,4,0,2,3,3,1,1,3,1,1,26,18
11,15,17,0,2,2,1,2,1,0,2,2,1,2,0,0,2,0,1,1,1,3,1,2,3,1,2,15,17
12,19,17,1,3,1,0,0,3,0,2,2,0,3,1,0,3,3,3,1,0,1,2,2,0,5,0,19,17
13,26,26,4,4,1,0,3,1,0,2,2,0,0,5,2,4,5,3,3,0,1,3,2,1,3,3,26,26
14,45,27,5,2,4,2,3,4,5,1,0,1,3,1,7,2,5,1,2,4,5,4,3,3,3,2,45,27
15,30,24,3,2,0,2,4,2,4,4,4,3,3,0,2,1,4,3,4,3,1,1,0,2,1,1,30,24
16,38,28,6,2,4,2,4,2,3,2,0,1,3,4,3,3,4,2,4,4,3,3,1,2,3,1,38,28
17,60,40,3,3,4,4,4,7,3,3,4,3,3,2,9,4,5,2,4,1,7,3,2,3,12,5,60,40
18,90,37,8,3,7,4,10,1,6,3,6,2,6,4,6,4,11,4,6,4,9,4,8,1,6,3,90,37
19,100,55,3,1,6,6,9,5,5,6,8,5,10,2,11,6,17,5,4,4,8,5,9,3,9,6,100,55
20,112,41,14,3,14,4,10,4,9,4,7,3,10,4,12,2,4,7,5,0,8,5,7,2,12,3,112,41
21,135,32,10,4,6,4,6,2,12,3,11,5,15,3,16,1,10,3,12,2,13,1,8,2,15,2,135,32
